t,u1,u2,u3,tau,x_q,xdot_q,z_q,zdot_q,theta,theta_dot,beta,beta_dot
0.0,6.454943040960393,0.1755583419412214,0.1755583419412214,0.14749965593540304,-2.0,0.0,2.0,0.0,1.0578852238375424e-05,0.0,-0.4363323129986219,0.0
0.0043804755944931,6.375054780951305,0.22330999505001847,0.22330999505001847,-0.08094300937204171,-2.0,-0.006761015392839909,2.0,0.01449977420270443,1.057885219779564e-05,0.0008194025722332299,-0.4363323152065277,0.19036784768104553
0.0087609511889862,6.326572385504612,0.24812622181095345,0.24812622181095345,-0.228900287402737,-2.0000295639038086,-0.011028951965272427,2.000063419342041,0.023152843117713928,1.4168224879540503e-05,0.009704554453492165,-0.4354984164237976,0.31088384985923767
0.0131414267834793,6.29810877166764,0.2546117665702402,0.2546117665702402,-0.324837418407649,-2.000077962875366,-0.013669496402144432,2.000164747238159,0.028058640658855438,5.6678789405850694e-05,0.023635242134332657,-0.43413659930229187,0.3862878084182739
0.0175219023779724,6.282430800606583,0.24467482249755712,0.24467482249755712,-0.3871400477717129,-2.0001378059387207,-0.015253011137247086,2.0002877712249756,0.030565449967980385,0.00016021239571273327,0.04055699706077576,-0.4324444830417633,0.43255943059921265
0.0219023779724655,6.2748692182692345,0.2289140567473612,0.2289140567473612,-0.42768824500797287,-2.000204563140869,-0.016151102259755135,2.0004217624664307,0.03154129907488823,0.0003378713154233992,0.05900799483060837,-0.430549681186676,0.4600237011909485
0.0262828535669586,6.272412605580915,0.20917611821076026,0.20917611821076026,-0.45415874307284454,-2.0002753734588623,-0.0166038628667593,2.0005600452423096,0.03154543787240982,0.0005963543662801385,0.07818286120891571,-0.4285345673561096,0.47535207867622375
0.0306633291614518,6.2731198728521536,0.1873084868301963,0.1873084868301963,-0.4715125159298559,-2.0003480911254883,-0.01676534116268158,2.0006983280181885,0.03093819133937359,0.0009388325270265341,0.09755434095859528,-0.42645230889320374,0.48285558819770813
0.0350438047559449,6.275741525989837,0.16448071465462238,0.16448071465462238,-0.4829557133275567,-2.0004215240478516,-0.01673365943133831,2.000833749771118,0.0299515537917614,0.0013661669800058007,0.11679400503635406,-0.4243371784687042,0.48531997203826904
0.039424280350438,6.279469574399482,0.14142274960115703,0.14142274960115703,-0.49056061069717166,-2.0004947185516357,-0.016570761799812317,2.000964879989624,0.028734659776091576,0.0018777803052216768,0.13570120930671692,-0.42221125960350037,0.48454549908638
0.0438047559449311,6.283785806257372,0.11858448253305603,0.11858448253305603,-0.4956669159464453,-2.0005671977996826,-0.016315270215272903,2.0010907649993896,0.02738310396671295,0.0024722162634134293,0.1541571319103241,-0.4200887084007263,0.48169559240341187
0.0481852315394242,6.288360045128574,0.09623570738217482,0.09623570738217482,-0.49914043042928047,-2.000638723373413,-0.01599080301821232,2.0012106895446777,0.025957873091101646,0.003147497773170471,0.17209522426128387,-0.4179786443710327,0.47752201557159424
0.0525657071339173,6.292980313771874,0.07452851354578678,0.07452851354578678,-0.5015412300783059,-2.000708818435669,-0.015611364506185055,2.001324415206909,0.024497609585523605,0.0039013568311929703,0.18948209285736084,-0.41588687896728516,0.47251078486442566
0.0569461827284105,6.2975141022388055,0.0535431801919205,0.0535431801919205,-0.5032317889096005,-2.000777244567871,-0.015184810385107994,2.001431703567505,0.023026520386338234,0.004731378518044949,0.20630516111850739,-0.41381704807281494,0.4669760465621948
0.0613266583229036,6.301877799136458,0.03331373528250775,0.03331373528250775,-0.504446621779415,-2.0008437633514404,-0.014715082012116909,2.001532554626465,0.021559501066803932,0.005635093431919813,0.22256475687026978,-0.4117714762687683,0.46112099289894104
0.0657071339173967,6.306020930978137,0.013845409169501943,0.013845409169501943,-0.5053378468773371,-2.000908136367798,-0.014203637838363647,2.001626968383789,0.020105434581637383,0.006610033102333546,0.23826906085014343,-0.4097515344619751,0.45507702231407166
0.0700876095118898,6.309914440634431,-0.00487235786297413,-0.00487235786297413,-0.5060039397232923,-2.0009703636169434,-0.013650380074977875,2.0017149448394775,0.01866932213306427,0.0076537649147212505,0.2534308433532715,-0.40775808691978455,0.44892919063568115
0.0744680851063829,6.313540454211365,-0.022862370663472298,-0.022862370663472298,-0.5065093080574057,-2.001030206680298,-0.013054250739514828,2.0017967224121094,0.017253709957003593,0.008763913065195084,0.268065482378006,-0.4057915508747101,0.44273272156715393
0.078848560700876,6.3168925299937335,-0.04015307157262399,-0.04015307157262399,-0.5068956293808409,-2.0010874271392822,-0.012413600459694862,2.0018723011016846,0.015859510749578476,0.009938167408108711,0.2821895182132721,-0.4038521647453308,0.43652334809303284
0.0832290362953692,6.319969717752518,-0.056775724728004906,-0.056775724728004906,-0.5071903632492636,-2.0011417865753174,-0.011726443655788898,2.001941680908203,0.014486650004982948,0.011174291372299194,0.29581987857818604,-0.4019399881362915,0.43032440543174744
0.0876095118898623,6.3227721804515635,-0.07276269456018941,-0.07276269456018941,-0.5074117349819103,-2.001193046569824,-0.010990607552230358,2.002005100250244,0.013134428299963474,0.01247012335807085,0.30897340178489685,-0.4000549614429474,0.4241511821746826
0.0919899874843554,6.325304839417641,-0.08814460623844061,-0.08814460623844061,-0.5075717881898747,-2.0012412071228027,-0.0102038299664855,2.0020625591278076,0.011801725253462791,0.013823573477566242,0.32166653871536255,-0.3981969654560089,0.41801366209983826
0.0963704630788485,6.327571508347185,-0.10295474434692756,-0.10295474434692756,-0.5076786147713079,-2.0012857913970947,-0.009363826364278793,2.0021142959594727,0.010487198829650879,0.015232626348733902,0.3339151442050934,-0.3963658809661865,0.411918580532074
