t,x_q,z_q,beta,xd_q,zd_q,betad
0.0,-2.0,2.0,0.4363323129986219,0.0,0.0,8.13924416861244e-12
0.004380475594493116,-1.9999999996035955,1.999999999780072,0.43633231312425086,3.6167396162604523e-07,-2.006202499326175e-07,1.1413644815871667e-07
0.008760951188986232,-1.9999999936785229,1.9999999964955337,0.43633231496933506,2.881419100665188e-06,-1.5967603136779982e-06,8.909098245341309e-07
0.013141426783479349,-1.9999999681035499,1.9999999823312495,0.4363323227798439,9.684495448475172e-06,-5.361478705619486e-06,2.9327810564478225e-06
0.017521902377972465,-1.9999998995257835,1.99999994438686,0.4363323432993028,2.2860597933870417e-05,-1.2643518890243411e-05,6.7778494563421365e-06
0.02190237797246558,-1.9999997555159104,1.9999998647828416,0.43633238549003506,4.4464107485494416e-05,-2.4567515650102557e-05,1.2901293612380284e-05
0.026282853566958697,-1.99999949472234,1.9999997207656655,0.4363324602606599,7.651434141145982e-05,-4.223420075691869e-05,2.1716794105497048e-05
0.030663329161451813,-1.9999990670242545,1.9999994848120515,0.4363325801997986,0.00012099580305625634,-6.672060794582408e-05,3.3577946192144235e-05
0.03504380475594493,-1.999998413683563,1.9999991247323314,0.4363327593159491,0.00017985843073492643,-9.908027719274221e-05,4.877966245273086e-05
0.039424280350438046,-1.9999974674957703,1.9999986037729167,0.43633301278348124,0.00025501784594450863,-0.00014034345829490725,6.755956540575826e-05
0.04380475594493116,-1.9999961529397583,1.9999978807178742,0.4363333566947109,0.000348355600852749,-0.00019151731375452295,9.009937008764965e-05
0.04818523153942428,-1.9999943863264844,1.9999969099896182,0.43633380781800835,0.00046171942506407983,-0.0002535861209655602,0.00011652625659827471
0.052565707133917394,-1.999992075946603,1.9999956417487157,0.43633438336189784,0.0005969234716628661,-0.0003275114737036939,0.00014691423261216892
0.05694618272841051,-1.9999891222170063,1.9999940219928118,0.4363351007451023,0.0007557485625339209,-0.0004142324829193788,0.00018128548585544756
0.06132665832290363,-1.9999854178262968,1.9999919926546756,0.4363359773724913,0.0009399424329602866,-0.0005146659768340645,0.00021961172654841421
0.06570713391739674,-1.999980847879189,1.9999894916993741,0.4363370304168882,0.0011512199754982852,-0.0006297067003395489,0.0002618155198138649
0.07008760951188986,-1.9999752900398395,1.9999864532205698,0.4363382766066901,0.0013912634831298371,-0.0007602275137004714,0.00030777160805108575
0.07446808510638298,-1.9999686146741218,1.9999828075359545,0.436339732019261,0.0016617228916920449,-0.0009070795905599457,0.0003573082232755466
0.07884856070087609,-1.999960684990833,1.9999784812818118,0.4363414118800486,0.001964216021584048,-0.001071092615248329,0.00041020838942428857
0.08322903629536921,-1.9999513571818481,1.999973397506722,0.4363433303673871,0.002300328818751144,-0.0012530749793951343,0.00046621121462700645
0.08760951188986232,-1.9999404805612195,1.9999674757644041,0.4363455004229357,0.002671615594946175,-0.0014538139778440774,0.0005250131734428265
0.09198998748435544,-1.9999278977032229,1.9999606322057015,0.4363479335677143,0.0030795992672681886,-0.001674076003871267,0.0005862693790627781
0.09637046307884856,-1.9999134445793587,1.999952779669714,0.43635063972368876,0.0035257715969783574,-0.0019146067437065303,0.0006495948454779613
0.10075093867334167,-1.9998969506943078,1.9999438277740818,0.43635362704086367,0.004011593427593175,-0.002176131370357881,0.000714565739613408
0.10513141426783479,-1.9998782392208458,1.9999336830044179,0.43635690172983777,0.004538494922254912,-0.0024593547367391224,0.0007807206234276374
0.1095118898623279,-1.999857127133718,1.999922248802899,0.43636046789977834,0.005107875800379353,-0.0027649615681005937,0.0008475616859779095
0.11389236545682102,-1.9998334253424823,1.999909425656014,0.43636432740177106,0.005721105573580775,-0.0030936166537630532,0.0009145559654511697
0.11827284105131414,-1.999806938823316,1.9998951111814738,0.43636847967750064,0.006379523780874227,-0.0034459650381546973,0.000981136561160687
0.12265331664580725,-1.9997774667497985,1.9998792002142867,0.4363729216132186,0.007084440223155055,-0.0038226322111513298,0.0010467038355083955
0.12703379224030037,-1.9997448026226645,1.999861584892,0.4363776473989542,0.0078371351969557,-0.004224224297719654,0.0011106266059129183
0.13141426783479349,-1.9997087343985376,1.9998421547391148,0.43638264839292484,0.008638859727479757,-0.004651328246863713,0.0011722433267032958
0.1357947434292866,-1.9996690446176422,1.999820796750673,0.43638791299110186,0.009490835800913335,-0.005104512019874479,0.0012308632609784066
0.14017521902377972,-1.9996255105305027,1.9997973954750197,0.4363934265018866,0.010394256596013621,-0.005584324777882557,0.001285767642432076
0.14455569461827283,-1.9995779042236264,1.99977183309575,0.4363991710258556,0.011350286714974787,-0.00609129706871405,0.001336210827143894
0.14893617021276595,-1.9995259927441769,1.9997439895128346,0.43640512534052767,0.012360062413571099,-0.006625941013049551,0.0013814214353357122
0.15331664580725907,-1.9994695382236458,1.999713742422932,0.43641126479011094,0.013424691830577339,-0.00718875048988628,0.0014206034830938456
0.15769712140175218,-1.999408298000514,1.9996809673988944,0.43641756118018593,0.014545255216466468,-0.007780201321303356,0.0014529375040569655
0.1620775969962453,-1.9993420247419171,1.999645537968458,0.4364239826772794,0.015722805161384586,-0.008400751456530211,0.0014775816610696887
0.16645807259073842,-1.9992704665643146,1.999607325692135,0.4364304937132859,0.016958366822403103,-0.009050841155318148,0.0014936728478018603
0.17083854818523153,-1.99919336715316,1.9995662002403016,0.4364370548946936,0.018252938150048272,-0.009730893170615009,0.0015003277803335234
0.17521902377972465,-1.9991104658815864,1.9995220294694864,0.43644362291656913,0.01960749011410786,-0.010441312930543045,0.0014966440787056166
