t,u1,u2,u3,tau,x_q,xdot_q,z_q,zdot_q,theta,theta_dot,beta,beta_dot
0.0,6.454938248219203,-0.12555442090558905,-0.12555442090558905,-0.15293383583940467,-2.0,0.0,2.0,0.0,1.0316791738859687e-05,0.0,0.3490658503989685,0.0
0.0043804755944931,6.408619325373203,-0.1136951326495772,-0.1136951326495772,-0.28046290593777223,-2.0,0.0030554358381778,2.0,0.008393247611820698,1.0316791303921491e-05,0.0007995656924322248,0.3490658402442932,0.10628189146518707
0.0087609511889862,6.380478244492477,-0.10221946687998815,-0.10221946687998815,-0.36295716661897043,-1.9999866485595703,0.004991656634956598,2.0000367164611816,0.01339096948504448,1.3819269952364266e-05,0.005669713485985994,0.3495314121246338,0.17349094152450562
0.0131414267834793,6.363898988136322,-0.09494982399754712,-0.09494982399754712,-0.4162975523526372,-1.9999648332595825,0.006210067309439182,2.0000953674316406,0.0162037406116724,3.865531471092254e-05,0.013284080661833286,0.35029137134552,0.21544265747070312
0.0175219023779724,6.354691317402292,-0.09539911165907128,-0.09539911165907128,-0.4507631348054704,-1.999937653541565,0.006967086344957352,2.000166416168213,0.017615104094147682,9.684590622782707e-05,0.02266845293343067,0.35123512148857117,0.24107739329338074
0.0219023779724655,6.350127302452878,-0.09667450405751964,-0.09667450405751964,-0.4730046687220807,-1.99990713596344,0.007428030017763376,2.000243663787842,0.018132025375962257,0.00019614450866356492,0.03304620832204819,0.35229116678237915,0.2561819851398468
0.0262828535669586,6.348444773167042,-0.0991730264915946,-0.0991730264915946,-0.4873256893516629,-1.9998745918273926,0.007700284477323294,2.0003230571746826,0.018081989139318466,0.0003409026248846203,0.04403624311089516,0.3534133732318878,0.26450252532958984
0.0306633291614518,6.348504283203326,-0.10248098011521067,-0.10248098011521067,-0.4965108852861915,-1.9998408555984497,0.00785409938544035,2.0004022121429443,0.017676236107945442,0.0005338023183867335,0.05537153035402298,0.35457202792167664,0.26846447587013245
0.0350438047559449,6.349570849829709,-0.10632795142680958,-0.10632795142680958,-0.5023623965721524,-1.9998064041137695,0.007935812696814537,2.0004796981811523,0.017050746828317642,0.0007763559697195888,0.06687845289707184,0.3557480275630951,0.26963895559310913
0.039424280350438,6.351174935358425,-0.11053577558847799,-0.11053577558847799,-0.5060467368966732,-1.9997715950012207,0.007976310327649117,2.000554323196411,0.016292817890644073,0.0010693154763430357,0.07844391465187073,0.3569291830062866,0.2690441608428955
0.0438047559449311,6.353013017403363,-0.11498657052330706,-0.11498657052330706,-0.5083189897673968,-1.9997366666793823,0.007996466010808945,2.0006256103515625,0.015458272770047188,0.0014129371847957373,0.08999408781528473,0.35810771584510803,0.2673405408859253
0.0481852315394242,6.354891236535385,-0.11960284236326879,-0.11960284236326879,-0.5096683861211322,-1.9997016191482544,0.008010653778910637,2.0006933212280273,0.014582574367523193,0.001807154156267643,0.1014806404709816,0.3592787981033325,0.2649569809436798
0.0525657071339173,6.356688204058315,-0.12433137399140004,-0.12433137399140004,-0.5104117755039723,-1.9996665716171265,0.00802901852875948,2.0007572174072266,0.013688020408153534,0.002251687692478299,0.11287178844213486,0.3604394495487213,0.2621723711490631
0.0569461827284105,6.358329332679604,-0.12913719004699312,-0.12913719004699312,-0.5107545530724411,-1.999631404876709,0.008058949373662472,2.000817060470581,0.012788410298526287,0.002746119862422347,0.12414655834436417,0.36158788204193115,0.2591685652732849
0.0613266583229036,6.359765367955573,-0.13399522678328676,-0.13399522678328676,-0.5108304745862529,-1.999596118927002,0.008106036111712456,2.00087308883667,0.01189208123832941,0.003289940766990185,0.1352909952402115,0.362723171710968,0.25606465339660645
0.0657071339173967,6.360971515000226,-0.13888848205651713,-0.13888848205651713,-0.5107261768023791,-1.9995605945587158,0.00817467924207449,2.000925064086914,0.011003800667822361,0.0038825797382742167,0.14629578590393066,0.3638448715209961,0.2529386878013611
0.0700876095118898,6.361930677804006,-0.14380378600312338,-0.14380378600312338,-0.5104982293627623,-1.9995248317718506,0.008268499746918678,2.0009732246398926,0.010126079432666302,0.00452342489734292,0.1571546196937561,0.36495286226272583,0.24984239041805267
0.0744680851063829,6.362636374239365,-0.14873307053516577,-0.14873307053516577,-0.5101837672209711,-1.9994885921478271,0.008390596136450768,2.0010175704956055,0.00925994198769331,0.0052118366584181786,0.16786326467990875,0.36604729294776917,0.2468102127313614
0.078848560700876,6.363087225898781,-0.15366860870515633,-0.15366860870515633,-0.509807206998751,-1.9994518756866455,0.008543713949620724,2.0010581016540527,0.008405494503676891,0.0059471577405929565,0.17841877043247223,0.3671284317970276,0.24386543035507202
0.0832290362953692,6.363285250930469,-0.15860602983961145,-0.15860602983961145,-0.5093847340841077,-1.9994144439697266,0.008730354718863964,2.0010948181152344,0.007562234997749329,0.0067287166602909565,0.18881914019584656,0.36819666624069214,0.24102388322353363
0.0876095118898623,6.363232118500818,-0.1635411915731243,-0.1635411915731243,-0.5089274008988744,-1.9993761777877808,0.008952849544584751,2.0011279582977295,0.00672930059954524,0.007555834483355284,0.1990629881620407,0.369252473115921,0.23829665780067444
0.0919899874843554,6.362933339637314,-0.16847073652276723,-0.16847073652276723,-0.5084425025510271,-1.9993369579315186,0.009213400073349476,2.001157522201538,0.005905572324991226,0.008427824825048447,0.20914936065673828,0.37029632925987244,0.23569153249263763
0.0963704630788485,6.362395226101689,-0.17339279050170597,-0.17339279050170597,-0.5079351908634109,-1.9992965459823608,0.009514112025499344,2.00118350982666,0.005089794285595417,0.00934399850666523,0.21907761693000793,0.37132877111434937,0.2332141250371933
