t,u1,u3,tau,theta,theta_dot,theta_ddot,x_g,z_g
0.0,6.454941393177413,-0.13195382473726883,-0.14749945483428967,1.0578852238375424e-05,0.0050060812168236475,1.2954691747517362,-1.9048376823611535,1.9556250825172228
0.0043804755944931,6.454805741319416,-0.12436831142551648,-0.14749866944749346,4.796852954753071e-05,0.012065125326269027,1.9275298351647485,-1.9048376819703239,1.9556250822853396
0.0087609511889862,6.454558205238748,-0.11788377885748663,-0.14749724915088536,0.00011628266039114315,0.021893532248167875,2.467789191116561,-1.9048376761271266,1.9556250788252187
0.0131414267834793,6.454111657441415,-0.11641466430191966,-0.14749472600065225,0.0002397826215463624,0.033686180375627324,2.590005141561049,-1.9048376508987441,1.9556250639176682
0.0175219023779724,6.453492839022811,-0.11787665787827706,-0.14749129948194667,0.0004114135547586404,0.044584893144836636,2.4678868003058003,-1.9048375832315272,1.9556250240205997
0.0219023779724655,6.452705726208215,-0.11835043697246801,-0.14748703399878096,0.000630398948223128,0.05530773404823438,2.4280497521927455,-1.9048374410938647,1.9556249404016137
0.0262828535669586,6.451754298879422,-0.11881619342430846,-0.14748199263130246,0.0008959743638646374,0.06585740376013413,2.3888166005828335,-1.9048371836182354,1.9556247892690917
0.0306633291614518,6.450642538492086,-0.1192742858346931,-0.1474762371639571,0.0012073869546095734,0.07623649327405743,2.350162610772,-1.9048367612424415,1.9556245419017928
0.0350438047559449,6.449374426014784,-0.11972506161016039,-0.1474698281123377,0.001563894986107017,0.08644748654324175,2.3120638751814413,-1.9048361158500204,1.9556241647769677
0.039424280350438,6.447953939839894,-0.12016885682883119,-0.1474628247488004,0.0019647673771438228,0.09649276508738305,2.2744973266641018,-1.9048351809098425,1.9556236196970014
0.0438047559449311,6.446385053847273,-0.12060599916070008,-0.14745528512852982,0.0024092832617208762,0.10637461074844286,2.2374404973191444,-1.9048338816148915,1.9556228639145827
0.0481852315394242,6.4446717355324905,-0.12103680663377,-0.14744726611579606,0.002896731553613533,0.11609520818559202,2.2008716235021706,-1.904832135020231,1.9556218502564136
0.0525657071339173,6.442817944212216,-0.1214615874743491,-0.14743882340854952,0.0034264105303111097,0.1256566485518013,2.164769661183368,-1.90482985018016,1.955620527245466
0.0569461827284105,6.440827629218971,-0.12188064083586227,-0.14743001156233668,0.00399762742979656,0.1350609321219419,2.129114227206201,-1.9048269282845496,1.9556188392217912
0.0613266583229036,6.43870472822377,-0.12229425689235808,-0.14742088401539533,0.004609698057501965,0.1443099714544456,2.0938855935864367,-1.9048232627943773,1.9556167264618867
0.0657071339173967,6.436453165618561,-0.12270271707098095,-0.14741149311203305,0.005261946410796602,0.15340559397167067,2.0590646700876754,-1.9048187395764475,1.955614125296635
0.0700876095118898,6.43407685086211,-0.12310629342967176,-0.14740189012358954,0.005953704308557781,0.16234954496650914,2.0246330578264806,-1.9048132370373012,1.9556109682278162
0.0744680851063829,6.431579677003528,-0.12350525054087924,-0.14739212527226164,0.006684311041986648,0.17114349065215856,1.9905728942818672,-1.9048066262563228,1.9556071840431999
0.078848560700876,6.428965519238101,-0.12389984474940768,-0.14738224775300157,0.00745311303090793,0.17978901981432438,1.9568669169661579,-1.904798771118038,1.9556026979302272
0.0832290362953692,6.4262382334018895,-0.12429032374714298,-0.14737230575322896,0.008259463489076307,0.18828764741660237,1.9234985005071652,-1.9047895284436067,1.955597431588292
0.0876095118898623,6.423401654579169,-0.12467692821901942,-0.14736234647248064,0.009102722112051835,0.19664081657404442,1.8904515211217685,-1.9047787481215135,1.955591303339624
0.0919899874843554,6.42045959583475,-0.12505988972270982,-0.147352416142759,0.009982254759783427,0.20484990097626737,1.8577105350040988,-1.9047662732374508,1.9555842282387803
0.0963704630788485,6.417415846915451,-0.12543943248155667,-0.14734256004798738,0.010897433165748227,0.21291620842464895,1.8252606305358927,-1.9047519402034059,1.955576118180757
0.1007509386733416,6.414274172960955,-0.12581577414818684,-0.14733282254077923,0.011847634650513682,0.22084098195532326,1.7930873660493656,-1.9047355788859428,1.955566882007726
0.1051314142678347,6.411038313303687,-0.12618912434115312,-0.14732324705945582,0.01283224184070629,0.22862540283348254,1.7611768931918923,-1.9047170127336857,1.9555564256144051
0.1095118898623279,6.407711980340514,-0.12655968609147414,-0.14731387614592836,0.013850642408817292,0.23627059275858908,1.7295158378711863,-1.9046960589040043,1.9555446520520632
0.113892365456821,6.404298858400858,-0.1269276549882939,-0.1473047514613479,0.014902228811493366,0.24377761581567156,1.6980913727545008,-1.9046725283889006,1.955531461631176
0.1182728410513141,6.400802602622291,-0.12729321962672782,-0.1472959137995481,0.015986398046448955,0.2511474813130637,1.6668911810683564,-1.9046462261400976,1.9555167520227354
0.1226533166458072,6.397226837938346,-0.12765656142040488,-0.14728740310310154,0.017102551415596367,0.258381145416239,1.6359034735580542,-1.9046169511933375,1.955500418358218
0.1270337922403003,6.3935751581199645,-0.12801785575583724,-0.14727925847804227,0.01825009429628253,0.2654795141413502,1.605116893517085,-1.9045844967918801,1.9554823533282197
0.1314142678347934,6.389851124685085,-0.12837727277100164,-0.14727151820399592,0.019428435930686452,0.27244344414754074,1.574520452749524,-1.9045486505092128,1.9554624472797737
0.1357947434292866,6.3860582660243015,-0.1287349729722262,-0.14726421974755532,0.020636989203920913,0.27927374517049436,1.5441038979440933,-1.9045091943709633,1.9554405883123427
0.1401752190237797,6.382200076558963,-0.12909111182272862,-0.1472573997758319,0.021875170454806882,0.28597118403631816,1.513857329425275,-1.904465904976028,1.9554166623725038
