t,x_q,z_q,beta
0.0,-2.0,2.0,0.4363323129986219
0.004380475594493116,-1.9999999996035955,1.999999999780072,0.43633231312425086
0.008760951188986232,-1.9999999936785229,1.9999999964955337,0.43633231496933506
0.013141426783479349,-1.9999999681035499,1.9999999823312495,0.4363323227798439
0.017521902377972465,-1.9999998995257835,1.99999994438686,0.4363323432993028
0.02190237797246558,-1.9999997555159104,1.9999998647828416,0.43633238549003506
0.026282853566958697,-1.99999949472234,1.9999997207656655,0.4363324602606599
0.030663329161451813,-1.9999990670242545,1.9999994848120515,0.4363325801997986
0.03504380475594493,-1.999998413683563,1.9999991247323314,0.4363327593159491
0.039424280350438046,-1.9999974674957703,1.9999986037729167,0.43633301278348124
0.04380475594493116,-1.9999961529397583,1.9999978807178742,0.4363333566947109
0.04818523153942428,-1.9999943863264844,1.9999969099896182,0.43633380781800835
0.052565707133917394,-1.999992075946603,1.9999956417487157,0.43633438336189784
0.05694618272841051,-1.9999891222170063,1.9999940219928118,0.4363351007451023
0.06132665832290363,-1.9999854178262968,1.9999919926546756,0.4363359773724913
0.06570713391739674,-1.999980847879189,1.9999894916993741,0.4363370304168882
0.07008760951188986,-1.9999752900398395,1.9999864532205698,0.4363382766066901
0.07446808510638298,-1.9999686146741218,1.9999828075359545,0.436339732019261
0.07884856070087609,-1.999960684990833,1.9999784812818118,0.4363414118800486
0.08322903629536921,-1.9999513571818481,1.999973397506722,0.4363433303673871
0.08760951188986232,-1.9999404805612195,1.9999674757644041,0.4363455004229357
0.09198998748435544,-1.9999278977032229,1.9999606322057015,0.4363479335677143
0.09637046307884856,-1.9999134445793587,1.999952779669714,0.43635063972368876
0.10075093867334167,-1.9998969506943078,1.9999438277740818,0.43635362704086367
0.10513141426783479,-1.9998782392208458,1.9999336830044179,0.43635690172983777
0.1095118898623279,-1.999857127133718,1.999922248802899,0.43636046789977834
0.11389236545682102,-1.9998334253424823,1.999909425656014,0.43636432740177106
0.11827284105131414,-1.999806938823316,1.9998951111814738,0.43636847967750064
0.12265331664580725,-1.9997774667497985,1.9998792002142867,0.4363729216132186
0.12703379224030037,-1.9997448026226645,1.999861584892,0.4363776473989542
0.13141426783479349,-1.9997087343985376,1.9998421547391148,0.43638264839292484
0.1357947434292866,-1.9996690446176422,1.999820796750673,0.43638791299110186
0.14017521902377972,-1.9996255105305027,1.9997973954750197,0.4363934265018866
0.14455569461827283,-1.9995779042236264,1.99977183309575,0.4363991710258556
0.14893617021276595,-1.9995259927441769,1.9997439895128346,0.43640512534052767
0.15331664580725907,-1.9994695382236458,1.999713742422932,0.43641126479011094
0.15769712140175218,-1.999408298000514,1.9996809673988944,0.43641756118018593
0.1620775969962453,-1.9993420247419171,1.999645537968458,0.4364239826772794
0.16645807259073842,-1.9992704665643146,1.999607325692135,0.4364304937132859
0.17083854818523153,-1.99919336715316,1.9995662002403016,0.4364370548946936
0.17521902377972465,-1.9991104658815864,1.9995220294694864,0.43644362291656913
0.17959949937421776,-1.9990214979281005,1.9994746794978644,0.4364501504812587
0.18397997496871088,-1.9989261943932932,1.9994240147799578,0.4364565862217597
0.188360450563204,-1.9988242824155706,1.9993698981805499,0.4364628746297226
0.1927409261576971,-1.9987154852859037,1.9993121910478058,0.436468955988034
0.19712140175219023,-1.9985995225616062,1.999250753285618,0.43647476630794124
0.20150187734668334,-1.99847611017914,1.9991854434251668,0.43648023727067253
0.20588235294117646,-1.998344960565949,1.9991161186957016,0.43648529617350906
0.21026282853566958,-1.9982057827513326,1.999042635094556,0.4364898658802651
0.2146433041301627,-1.9980582824763542,1.9989648474563813,0.4364938647761324
0.2190237797246558,-1.9979021623027893,1.9988826095216201,0.4364972067268445
0.22340425531914893,-1.99773712172112,1.9987957740042093,0.43649980104211694
0.22778473091364204,-1.9975628572575774,1.9987041926585254,0.43650155244332095
0.23216520650813516,-1.9973790625802312,1.9986077163455687,0.4365023610353434
0.23654568210262827,-1.9971854286041346,1.998506195098389,0.4365021222825931
0.2409261576971214,-1.9969816435955283,1.9983994781867649,0.43650072698910597
0.2453066332916145,-1.9967673932751004,1.9982874141811264,0.4364980612827075
0.24968710888610762,-1.9965423609203117,1.9981698510157357,0.436494006603187
0.25406758448060074,-1.9963062274667862,1.9980466360511218,0.43648843969444073
0.25844806007509386,-1.9960586716087738,1.997917616135773,0.4364812326005403
0.26282853566958697,-1.9957993698986811,1.997782637667097,0.4364722526656793
0.2672090112640801,-1.9955279968456803,1.9976415466516413,0.4364613625379598
0.2715894868585732,-1.9952442250133997,1.9974941887645836,0.43644842017696867
0.2759699624530663,-1.9949477251166903,1.9973404094084954,0.4364332788651044
0.28035043804755944,-1.9946381661174835,1.9971800537713775,0.4364157872226079
0.28473091364205255,-1.9943152153197325,1.9970129668839758,0.4363957892262539
0.28911138923654567,-1.99397853846345,1.996838993676375,0.43637312423166064
0.2934918648310388,-1.9936277998178353,1.996657979033879,0.4363476269991701
0.2978723404255319,-1.993262662273505,1.996469767852175,0.4363191277232595
0.302252816020025,-1.9928827874338197,1.9962742050917914,0.4362874520654363
0.30663329161451813,-1.9924878357053193,1.996071135831844,0.4362524211905749
0.31101376720901125,-1.9920774663872602,1.9958604053230813,0.43621385180664973
0.31539424280350437,-1.9916513377602698,1.9956418590402285,0.43617155620782266
0.3197747183979975,-1.9912091071741123,1.9954153427336316,0.4361253423208388
0.3241551939924906,-1.9907504311345663,1.9951807024802097,0.43607501375468677
0.3285356695869837,-1.9902749653894296,1.994937784733713,0.4360203698534819
